Tom Hanks,Tim Allen,Don Rickles,toy story
Robin Williams,Jonathan Hyde,Kirsten Dunst,jumanji
Walter Matthau,Jack Lemmon,Ann-Margret,grumpier old men
Whitney Houston,Angela Bassett,Loretta Devine,waiting to exhale
Steve Martin,Diane Keaton,Martin Short,father of the bride part ii
Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,tom and huck
Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,sudden death
Pierce Brosnan,Sean Bean,Izabella Scorupco,goldeneye
Michael Douglas,Annette Bening,Michael J. Fox,the american president
Leslie Nielsen,Mel Brooks,Amy Yasbeck,dracula: dead and loving it
Kevin Bacon,Bob Hoskins,Bridget Fonda,balto
Anthony Hopkins,Joan Allen,Powers Boothe,nixon
Geena Davis,Matthew Modine,Frank Langella,cutthroat island
Robert De Niro,Sharon Stone,Joe Pesci,casino
Tim Roth,Antonio Banderas,Jennifer Beals,four rooms
Jim Carrey,Ian McNeice,Simon Callow,ace ventura: when nature calls
Wesley Snipes,Woody Harrelson,Jennifer Lopez,money train
John Travolta,Gene Hackman,Rene Russo,get shorty
Sigourney Weaver,Holly Hunter,Will Patton,copycat
Sylvester Stallone,Antonio Banderas,Julianne Moore,assassins
Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,powder
Nicolas Cage,Elisabeth Shue,Julian Sands,leaving las vegas
Christina Ricci,Rosie O'Donnell,Thora Birch,now and then
Ron Perlman,Dominique Pinon,Judith Vittet,the city of lost children
Gong Li,Li Bao-Tian,Wang Xiaoxiao,shanghai triad
Michelle Pfeiffer,George Dzundza,Courtney B. Vance,dangerous minds
Bruce Willis,Madeleine Stowe,Brad Pitt,twelve monkeys
Craig Sheffer,Elizabeth McGovern,Tom Hulce,wings of courage
Christine Cavanaugh,Miriam Margolyes,Danny Mann,babe
Emma Thompson,Jonathan Pryce,Steven Waddington,carrington
Susan Sarandon,Sean Penn,Robert Prosky,dead man walking
Peter Reznick,John McDonough,Avi Hoffman,across the sea of time
Alicia Silverstone,Stacey Dash,Brittany Murphy,clueless
Larenz Tate,Keith David,Chris Tucker,dead presidents
Christopher Lambert,Robin Shou,Linden Ashby,mortal kombat
Nicole Kidman,Matt Dillon,Joaquin Phoenix,to die for
Winona Ryder,Anne Bancroft,Ellen Burstyn,how to make an american quilt
Brad Pitt,Morgan Freeman,Gwyneth Paltrow,se7en
Irene Bedard,Mel Gibson,David Ogden Stiers,pocahontas
Pascale Bussières,Rachael Crawford,Henry Czerny,when night is falling
Stephen Baldwin,Gabriel Byrne,Chazz Palminteri,the usual suspects
Cynthia Rothrock,Marshall R. Teague,Daniel McVicar,guardian angel
Woody Allen,Mira Sorvino,Helena Bonham Carter,mighty aphrodite
Enrico Lo Verso,Michele Placido,Piro Milkani,lamerica
Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,the big green
Jennifer Jason Leigh,Mare Winningham,Ted Levine,georgia
Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,the confessional
Hal Scardino,Litefoot,Lindsay Crouse,the indian in the cupboard
Richard Dreyfuss,Glenne Headly,Jay Thomas,mr. holland's opus
Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,don't be a menace to south central while drinking your juice in the hood
Sandra Bullock,Denis Leary,Yaphet Kotto,two if by sea
Pauly Shore,Stephen Baldwin,Joey Lauren Adams,bio-dome
Patrick Bergin,Matt Frewer,Austin O'Brien,lawnmower man 2: beyond cyberspace
Jerry Barone,Al Pacino,Mary Elizabeth Mastrantonio,two bits
Victoria Abril,Josiane Balasko,Alain Chabat,french twist
George Clooney,Quentin Tarantino,Harvey Keitel,from dusk till dawn
Josh Hamilton,Olivia d'Abo,Carlos Jacott,kicking and screaming
Rick Moranis,Tom Arnold,Julianne Phillips,big bully
Nico,Tina Aumont,Jackson Browne,nico icon
Jack Nicholson,David Morse,Anjelica Huston,the crossing guard
Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,the juror
Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,the white balloon
Andy García,Christopher Lloyd,William Forsythe,things to do in denver when you're dead
Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,antonia's line
"Al Freeman, Jr.",Phylicia Rashād,Paula Kelly,once upon a time... when we were colored
Mark Rylance,Kristin Scott Thomas,Patsy Kensit,angels and insects
Jeff Bridges,Caroline Goodall,John Savage,white squall
Jason Alexander,Faye Dunaway,Eric Lloyd,dunston checks in
Johnny Depp,Courtney Chase,Charles S. Dutton,nick of time
