Tom Hanks,toy story
Robin Williams,jumanji
Walter Matthau,grumpier old men
Whitney Houston,waiting to exhale
Steve Martin,father of the bride part ii
Jonathan Taylor Thomas,tom and huck
Jean-Claude Van Damme,sudden death
Pierce Brosnan,goldeneye
Michael Douglas,the american president
Leslie Nielsen,dracula: dead and loving it
Kevin Bacon,balto
Anthony Hopkins,nixon
Geena Davis,cutthroat island
Robert De Niro,casino
Tim Roth,four rooms
Jim Carrey,ace ventura: when nature calls
Wesley Snipes,money train
John Travolta,get shorty
Sigourney Weaver,copycat
Sylvester Stallone,assassins
Mary Steenburgen,powder
Nicolas Cage,leaving las vegas
Christina Ricci,now and then
Ron Perlman,the city of lost children
Gong Li,shanghai triad
Michelle Pfeiffer,dangerous minds
Bruce Willis,twelve monkeys
Craig Sheffer,wings of courage
Christine Cavanaugh,babe
Emma Thompson,carrington
Susan Sarandon,dead man walking
Peter Reznick,across the sea of time
Alicia Silverstone,clueless
Larenz Tate,dead presidents
Christopher Lambert,mortal kombat
Nicole Kidman,to die for
Winona Ryder,how to make an american quilt
Brad Pitt,se7en
Irene Bedard,pocahontas
Pascale Bussières,when night is falling
Stephen Baldwin,the usual suspects
Cynthia Rothrock,guardian angel
Woody Allen,mighty aphrodite
Enrico Lo Verso,lamerica
Steve Guttenberg,the big green
Jennifer Jason Leigh,georgia
Lothaire Bluteau,the confessional
Hal Scardino,the indian in the cupboard
Richard Dreyfuss,mr. holland's opus
Shawn Wayans,don't be a menace to south central while drinking your juice in the hood
Sandra Bullock,two if by sea
Pauly Shore,bio-dome
Patrick Bergin,lawnmower man 2: beyond cyberspace
Jerry Barone,two bits
Victoria Abril,french twist
George Clooney,from dusk till dawn
Josh Hamilton,kicking and screaming
Rick Moranis,big bully
Nico,nico icon
Jack Nicholson,the crossing guard
Demi Moore,the juror
Aida Mohammadkhani,the white balloon
Andy García,things to do in denver when you're dead
Willeke van Ammelrooy,antonia's line
"Al Freeman, Jr.",once upon a time... when we were colored
Mark Rylance,angels and insects
Jeff Bridges,white squall
Jason Alexander,dunston checks in
Johnny Depp,nick of time
Jason Patric,the journey of august king
Julia Roberts,mary reilly
Eddie Murphy,vampire in brooklyn
Matt Dillon,beautiful girls
Richard Briers,a midwinter's tale
Vincent Cassel,la haine
Sadie Frost,shopping
Nick Broomfield,heidi fleiss: hollywood madam
Al Pacino,city hall
Luke Wilson,bottle rocket
Ellen DeGeneres,mr. wrong
Adam Sandler,happy gilmore
Meryl Streep,the bridges of madison county
Maria Schrader,nobody loves me
Tim Curry,muppet treasure island
Christy Turlington,catwalk
Raymond J. Barry,headless body in topless bar
Mel Gibson,braveheart
Robert De Niro,taxi driver
Jackie Chan,rumble in the bronx
Meryl Streep,before and after
Helena Bonham Carter,margaret's museum
Michel Serrault,happiness is in the field
Tobias Arnold,the young poisoner's handbook
Sarah Jessica Parker,if lucy fell
Andy García,steal big steal little
Halle Berry,race the sun
Henry Czerny,the boys of st. vincent
Eddie Murphy,boomerang
Brigitte Lin,chungking express
Sergio Castellitto,the star maker
Ben Stiller,flirting with disaster
Jason James Richter,the neverending story iii: escape from fantasia
Amel Hedhili,the silences of the palace
Josh Charles,pie in the sky
Miranda Rhyne,angela
Matt Dillon,frankie starlight
David Caruso,jade
Luisito Marti,nueba yol
Lloyd Dunn,sonic outlaws
Kelsey Grammer,down periscope
