heath ledger|julia stiles|joseph gordon-levitt|10 things i hate about you
josh brener|michaela dietz|bert davis|101 dalmatian street
glenn close|jeff daniels|joely richardson|101 dalmatians
barry bostwick|jason alexander|martin short|101 dalmatians 2: patch's london adventure
glenn close|g�rard depardieu|ioan gruffudd|102 dalmatians
laura miyata|vijay mehta|amy smart|12 dates of christmas
kirk douglas|james mason|paul lukas|20,000 leagues under the sea
dave foley|kevin spacey|julia louis-dreyfus|a bug's life
bill farmer|jason marsden|jim cummings|a goofy movie
thomas ian nicholas|joss ackland|art malik|a kid in king arthur's court
mischa barton|ryan merriman|jared padalecki|a ring of endless light
storm reid|oprah winfrey|reese witherspoon|a wrinkle in time
will smith|mena massoud|naomi scott|aladdin
scott weinger|robin williams|linda larkin|aladdin
val bettin|jim cummings|gilbert gottfried|aladdin and the king of thieves
jason alexander|jonathan freeman|jeff bennett|aladdin and the return of jafar
kathryn beaumont|ed wynn|richard haydn|alice in wonderland
johnny depp|mia wasikowska|helena bonham carter|alice in wonderland
anatoly m. sagalevitch|genya chernaiev|victor nischeta|aliens of the deep
dessie flynn|james macdonald|clarence nash|all in a nutshell
kyle schmid|robert ri'chard|kaley cuoco|alley cats strike
vincent winter|sean scully|peter weck|almost angels
jess harnell|tom bergeron|bob saget|america's funniest home videos
george woodard|charles jimmie sr.|the vasquez brothers|america's heart & soul
jenny agutter|barry newman|kathleen nolan|amy
bill farmer|jason marsden|jeff bennett|an extremely goofy movie
peyton elizabeth lee|joshua rush|sofia wylie|andi mack
kathy bates|victor garber|alan cumming|annie
buzz aldrin|bill anders|neil armstrong|apollo: missions to the moon
jackie chan|steve coogan|c�cile de france|around the world in 80 days
james cameron|georgeos d�az-montexano|peter ellul vincenti|atlantis rising
james arnold taylor|cree summer|john mahoney|atlantis: milo's return
corey burton|claudia christian|michael j. fox|atlantis: the lost empire
brad bird|craig t. nelson|eli fucile|auntie edna
ross lynch|laura marano|raini rodriguez|austin & ally
sam worthington|zoe saldana|sigourney weaver|avatar
ray bolger|tommy sands|annette funicello|babes in toyland
hardie albright|stan alexander|bobette audrey|bambi
patrick stewart|alexander gould|keith ferguson|bambi and the great prince of the forest
sindy lau|daniel kai lin|sharmaine yeoh|bao
robby benson|jesse corti|rex everhart|beauty and the beast
jeff bennett|robby benson|paige o'hara|belle's magical world
paige o'hara|robby benson|jerry orbach|beauty and the beast: the enchanted christmas
annasophia robb|jeff daniels|cicely tyson|because of winn-dixie
angela lansbury|david tomlinson|roddy mcdowall|bedknobs and broomsticks
adam sandler|keri russell|guy pearce|bedtime stories
james macdonald|clarence nash|bill thompson|beezy bear
leonardo dicaprio|ki-moon ban|alejandro g. i��rritu|before the flood
benji|frank inn|red steagall|benji the hunted
landry bender|lauren taylor|gus kamp|best friends whenever
bette midler|lily tomlin|fred ward|big business
chris houghton|marieve herington|bob joles|big city greens
scott adsit|ryan potter|daniel henney|big hero 6
aaron springer|tom kenny|catherine wayne|billy dilley's super-duper subterranean summer
jack horner|paul sereno|gregory erickson|bizarre dinosaurs
peter ustinov|dean jones|suzanne pleshette|blackbeard's ghost
brian bonsall|karen duffy|james rebhorn|blank check
pinto colvig|walt disney|marcellite garner|boat builders
john travolta|miley cyrus|susie essman|bolt
jim cummings|earl boen|frank welker|bonkers
ben savage|william daniels|betsy randle|boy meets world
kelly macdonald|billy connolly|emma thompson|brave
jessica tuck|chris young|roger kabler|the brave little toaster to the rescue
erik von detten|sam horrigan|christina vidal|brink!
joaquin phoenix|jeremy suarez|jason raize|brother bear
patrick dempsey|mandy moore|jeremy suarez|brother bear 2
simon baker|duy beck|roy j. cohoe|buffalo dreams
jackson rozells|juliet embry|scarlett embry|bug juice: my adventures at camp
hilary duff|christy carlson romano|gary cole|cadet kelly
john putch|peter scolari|romy windsor|camp nowhere
demi lovato|joe jonas|meaghan martin|camp rock
demi lovato|joe jonas|nick jonas|camp rock 2: the final jam
michael shulman|erika christensen|adam wylie|can of worms
david niven|helen hayes|jodie foster|candleshoe
owen wilson|paul newman|bonnie hunt|cars
larry the cable guy|owen wilson|michael caine|cars 2
owen wilson|cristela alonzo|chris cooper|cars 3
keith ferguson|larry the cable guy|josh cooley|el materdor
larry the cable guy|keith ferguson|josh cooley|moon mater
keith ferguson|larry the cable guy|josh cooley|rescue squad mater
keith ferguson|paul dooley|tony shalhoub|spinning
larry the cable guy|keith ferguson|john michael higgins|time travel mater
larry the cable guy|keith ferguson|michael wallis|tokyo mater
larry the cable guy|keith ferguson|george carlin|unidentified flying mater
pat hingle|noah hathaway|virginya keehne|casebusters
steve martin|bonnie hunt|piper perabo|cheaper by the dozen
keith coogan|lucy deakins|colin mothupi|cheetah
zach braff|garry marshall|don knotts|chicken little
peter cullen|tress macneille|corey burton|chip 'n' dale rescue rangers
dessie flynn|james macdonald|clarence nash|chip an' dale
ilene woods|eleanor audley|verna felton|cinderella
jennifer hale|rob paulsen|corey burton|cinderella 2: dreams come true
jennifer hale|christopher daniel barnes|susanne blakeslee|cinderella 3: a twist in time
walt disney|james macdonald|clarence nash|clock cleaners
luke benward|dove cameron|mike c. manning|cloud 9
anthony gonzalez|gael garc�a bernal|benjamin bratt|coco
martin lawrence|raven-symon�|kym whitley|college road trip
lindsay lohan|adam garcia|glenne headly|confessions of a teenage drama queen
leon|doug e. doug|rawle d. lewis|cool runnings
dakota lotus|ruby rose turner|olivia sanabia|coop and cami ask the world
dessie flynn|james macdonald|clarence nash|corn chips
aly michalka|aj michalka|jack coleman|cow belles
cole jensen|tim lagasse|landry bender|crash & bernstein
emily osment|david henrie|jason earles|dadnapped
albert sharpe|janet munro|sean connery|darby o'gill and the little people
jim cummings|terence mcgovern|christine cavanaugh|darkwing duck
fess parker|buddy ebsen|jeff york|davy crockett and the river pirates
fess parker|buddy ebsen|basil ruysdael|davy crockett: king of the wild frontier
michael gambon|david attenborough|pierce brosnan|deep blue
dove cameron|cameron boyce|sofia carson|descendants 2
dove cameron|cameron boyce|sofia carson|descendants 3
tess romero|selenis leyva|charlie bushnell|diary of a future president
zachary gordon|robert capron|rachael harris|diary of a wimpy kid
alfre woodard|ossie davis|max casella|dinosaur
sabrina carpenter|sofia carson|nikki hahn|adventures in babysitting
brenda song|justin felbinger|bill farmer|amphibia
britt robertson|samuel levi|gregg sulkin|avalon high
laura marano|leigh-allyn baker|christian campbell|bad hair day
scott adsit|ryan potter|brooks wheelan|big hero 6: the series
olivia rodrigo|madison hu|devore ledridge|bizaardvark
hutch dano|genevieve hannelius|vicki lewis|den brother
dove cameron|cameron boyce|booboo stewart|descendants
dove cameron|sofia carson|sarah jeffery|descendants: wicked world
alex starke|margaret cabourn-smith|clive rowe|the evermoor chronicles
malachi barton|rachael macfarlane|blake moore|fancy nancy
enid-raye adams|sophie pollono|sofia rosinsky|fast layne
olivia holt|kerris dorsey|brendan meyer|girl vs. monster
jason ritter|alex hirsch|kristen schaal|gravity falls
olivia holt|austin north|piper curda|i didn't do it
david arquette|corey burton|jeff bennett|jake and the never land pirates
kevin jonas|chelsea kane|nicole gale anderson|jonas
zendaya|veronica dunne|kamil mcfadden|k.c. undercover
william brent|bradley steven perry|jake short|lab rats: elite force
tony anselmo|dee bradley baker|eric bauza|legend of the three caballeros
tony anselmo|bill farmer|tress macneille|mickey mouse clubhouse
weird al' yankovic|sabrina carpenter|mekai curtis|milo murphy's law
tress macneille|nika futterman|russi taylor|minnie's bow-toons
vincent martella|ella kennedy|ashley tisdale|phineas and ferb: star wars
ben schwartz|andrew caldwell|john dimaggio|randy cunningham: 9th grade ninja
raven-symon�|issac ryan brown|jason maybaum|raven's home
eden sher|adam mcarthur|grey griffin|star vs. the forces of evil
jenna ortega|isaak presley|ariana greenblatt|stuck in the middle
ian reed kesler|caroline rhea|ruth righi|sydney to the max
thomas brodie-sangster|vincent martella|alyson stoner|take two with phineas and ferb
